,A01,A02,A03,A04,A05,A06,A07,A08,A09,A10,A11,A12,B01,B02,B03,B04,B05,B06,B07,B08,B09,B10,B11,B12,C01,C03,C04,C05,C06,C07,C08,C09,C10,C11,C12,D01,D02,D03,D04,D05,D06,D07,D08,D09,D10,D11,D12,E01,E02,E03,E04,E05,E06,E07,E08,E09,E11,E12,F01,F02,F03,F04,F05,F06,F07,F08,F09,F10,F11,F12,G01,G02,G03,G04,G05,G06,G07,G08,G09,G10,G11,G12,H01,H02,H03,H04,H05,H07,H09,H11,H12
0,15,34,53,22,43,14,54,10,29,41,9,19,9,9,55,39,35,21,33,9,22,12,8,7,16,3,14,21,50,51,10,26,8,7,46,11,17,41,30,9,8,36,8,52,9,69,43,11,55,12,8,12,49,12,13,47,9,25,17,28,51,7,35,30,11,52,47,27,10,48,40,41,56,9,33,59,44,52,51,55,13,44,16,38,8,8,16,25,8,31,10
1,12,20,44,21,43,12,35,8,26,39,7,12,8,9,53,39,34,13,33,9,19,10,7,7,11,1,13,19,45,49,8,25,7,7,45,9,12,39,20,9,8,27,7,48,8,68,38,8,44,10,8,11,46,10,13,45,9,24,16,25,46,7,29,24,10,47,45,19,8,48,36,40,47,7,28,57,34,49,42,48,9,43,11,36,8,8,16,9,8,25,8
2,10,19,37,19,35,10,33,7,24,36,7,11,8,8,52,35,30,10,30,8,17,9,7,7,11,0,12,14,45,48,7,23,7,6,41,9,12,23,19,8,8,22,7,44,7,55,38,7,32,9,7,8,30,8,10,44,8,22,15,25,45,7,27,24,8,41,35,17,8,37,34,40,43,7,22,56,29,48,42,46,8,40,9,35,7,8,11,5,7,22,8
3,9,10,36,13,28,10,30,7,24,35,7,10,8,8,50,33,29,10,24,8,15,9,6,6,10,,11,13,41,46,7,19,7,6,32,8,11,22,19,8,8,17,7,44,7,54,37,7,27,9,7,7,22,8,7,43,8,20,13,23,43,6,21,24,8,34,31,9,7,36,29,36,42,7,20,55,27,46,39,43,8,37,8,34,7,7,8,3,7,21,7
4,9,10,35,12,15,10,25,7,20,34,7,9,7,8,49,33,25,10,23,7,15,9,6,6,10,,10,13,40,42,7,17,6,6,32,8,9,22,17,7,8,16,7,41,7,47,33,7,20,9,6,7,20,7,7,43,7,14,12,23,42,6,21,18,8,32,29,8,6,36,28,36,41,7,19,53,23,46,39,42,7,35,8,34,7,7,7,,7,20,7
5,8,10,34,12,15,9,23,6,17,31,6,9,6,8,47,32,21,10,23,7,14,8,6,6,9,,9,8,38,41,7,17,6,6,25,7,9,21,16,7,8,15,7,31,6,45,32,6,19,8,6,7,20,7,7,42,7,13,11,22,40,6,20,16,7,32,28,8,6,36,28,35,40,6,18,51,22,43,33,42,6,35,8,34,6,6,7,,6,20,6
6,8,9,33,11,14,8,23,6,16,22,6,8,6,7,46,31,19,9,23,7,14,8,6,6,8,,8,8,38,37,7,16,6,6,24,7,9,20,15,7,8,13,6,29,6,44,26,6,18,8,6,7,18,7,6,41,7,12,11,21,40,6,18,16,7,32,28,8,6,36,28,32,40,6,18,47,22,42,31,42,6,34,8,33,6,6,6,,6,19,6
7,8,9,30,11,12,8,23,6,15,19,6,8,6,7,46,31,18,9,22,7,12,8,6,6,7,,8,8,37,36,7,16,6,6,22,7,8,18,14,7,8,13,6,29,6,43,25,6,16,7,6,7,15,7,6,41,7,12,10,21,40,6,16,15,7,31,27,7,6,35,28,29,40,6,18,47,21,41,29,38,6,33,7,32,6,6,6,,6,19,6
8,8,7,28,10,11,8,22,6,11,17,5,7,6,6,45,31,18,9,22,7,10,7,6,6,7,,8,7,35,36,6,14,6,5,22,7,8,18,14,7,8,12,6,29,6,43,24,6,14,7,6,7,14,6,6,40,7,11,10,21,38,6,16,15,7,26,26,7,6,35,28,27,40,5,17,46,21,41,29,37,6,33,7,31,6,6,6,,6,16,5
9,8,7,28,10,11,8,22,6,9,15,5,7,6,6,45,29,16,9,22,6,10,7,6,5,7,,8,7,34,34,6,13,5,5,22,7,8,17,13,6,8,10,6,28,6,43,22,5,14,7,6,7,14,6,6,40,7,10,10,20,33,6,16,13,7,26,26,7,6,35,27,27,38,5,17,45,20,41,28,36,6,32,7,30,6,5,6,,6,16,5
10,8,7,27,9,10,8,21,6,8,14,5,7,6,6,45,28,16,8,21,6,9,7,6,5,7,,8,7,33,33,6,13,5,5,21,7,8,16,12,6,8,10,6,27,6,43,22,5,13,7,6,7,11,6,6,38,6,10,10,20,29,6,16,13,7,26,25,7,6,35,27,24,37,5,17,43,20,39,28,33,6,31,7,30,6,5,6,,6,16,5
11,7,7,24,9,10,7,19,6,8,14,5,7,6,6,43,27,16,8,21,6,8,6,5,5,7,,7,7,29,31,6,13,5,5,20,7,8,15,11,6,7,9,6,27,5,42,22,5,12,7,6,7,10,6,6,35,6,10,9,20,27,6,16,13,7,24,24,7,6,34,27,24,36,5,16,42,18,38,27,31,5,31,7,30,6,5,6,,6,16,5
12,7,7,24,9,9,7,19,6,7,14,5,7,5,6,43,27,15,7,21,6,7,6,5,5,7,,7,6,27,31,6,13,5,5,17,6,8,15,11,6,7,9,6,26,5,42,21,5,12,7,6,7,9,6,6,35,6,10,9,17,26,6,15,10,6,23,24,6,6,34,27,22,35,5,14,41,17,38,26,30,5,31,7,30,6,5,6,,5,13,5
13,7,7,24,9,8,7,19,6,7,13,5,7,5,6,42,25,15,7,21,6,7,6,5,5,7,,7,6,27,30,6,12,5,5,16,6,8,14,10,6,7,9,5,25,5,42,20,5,10,7,6,6,8,6,6,33,6,9,9,15,25,6,15,8,6,23,23,6,6,34,27,22,34,5,14,41,15,37,26,24,5,30,7,29,6,5,6,,5,12,5
14,7,6,23,9,8,7,18,5,7,11,5,7,5,6,42,25,14,7,20,6,7,6,5,5,6,,7,6,26,30,6,12,5,5,15,6,8,13,10,6,7,9,5,25,5,42,19,5,10,6,6,6,8,6,5,32,6,9,9,15,25,5,15,8,6,23,23,6,6,34,26,22,30,5,13,39,13,37,26,22,5,29,7,28,5,5,6,,5,12,5
15,7,6,23,9,8,7,16,5,7,11,5,6,5,6,42,24,11,7,20,6,7,6,5,5,6,,7,6,25,29,6,12,5,5,13,6,8,13,10,6,7,9,5,24,5,41,18,5,10,6,6,6,8,6,5,32,6,9,9,14,24,5,15,8,6,23,21,6,6,34,26,20,30,5,13,38,13,36,25,20,5,29,6,27,5,5,6,,5,12,5
16,7,6,22,8,7,7,16,5,7,11,5,6,5,6,41,23,11,6,20,5,7,6,5,5,6,,7,6,25,28,6,12,5,5,12,6,8,12,10,6,7,9,5,24,5,41,17,5,8,6,6,6,7,6,5,32,6,9,8,14,23,5,14,7,6,20,20,6,6,33,25,20,29,5,13,38,12,36,24,20,5,28,6,27,5,5,6,,5,11,5
17,6,6,21,8,7,7,15,5,6,10,5,6,5,6,40,23,11,6,19,5,7,6,5,5,6,,7,6,24,28,6,12,5,4,11,6,8,12,10,6,7,5,5,23,5,41,17,5,8,6,6,6,7,6,5,31,6,9,8,14,23,5,13,7,6,20,20,6,6,32,25,18,28,5,12,38,11,34,24,18,5,28,6,27,5,5,6,,5,11,5
